Label,Num Words in Subject,Num Words in Body,Avg Word Length in Body,free,now,click,here,buy,time,offer,the,to,ect,and,of,a,for,you,in,hou,on,this,is,i,enron,be,that,we,from,will,have,with,your,2000,com,at,are,s,it,please
1,4,574,4.210801393728223,3,0,1,0,0,0,0,8,9,0,6,2,2,11,3,11,0,1,6,2,0,0,4,0,1,1,0,2,3,4,0,5,0,1,3,1,3
0,8,38,3.236842105263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,10,4.1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,5,50,3.56,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
0,7,109,3.8073394495412844,0,0,0,1,0,0,0,0,1,5,0,1,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0
1,11,68,3.411764705882353,0,0,1,1,2,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,32,4.5,0,0,0,1,0,0,0,1,3,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,4,56,4.696428571428571,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
0,7,17,3.1176470588235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,135,4.133333333333334,0,0,0,0,0,0,0,3,2,10,0,2,0,3,1,1,5,2,4,4,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,1
0,6,223,4.076233183856503,0,1,0,0,0,0,0,7,2,14,6,3,1,3,0,2,7,2,0,1,0,2,2,0,0,0,0,1,1,0,1,0,0,1,0,0,0
1,1,255,4.666666666666667,0,1,0,1,0,0,0,7,1,0,5,0,0,1,9,1,0,0,0,3,0,0,0,1,2,0,1,0,2,3,0,0,0,2,0,0,0
1,6,146,5.582191780821918,0,1,0,0,0,0,0,4,7,0,3,2,0,1,1,3,0,1,1,0,0,0,2,2,3,0,2,1,0,2,0,0,0,2,0,1,1
1,6,88,5.125,0,0,0,0,1,0,0,1,3,0,0,0,0,2,3,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
0,5,1279,4.463643471462079,2,0,0,0,0,1,0,9,22,0,5,6,6,2,15,2,0,0,7,8,5,0,1,4,1,13,4,5,2,5,10,102,1,0,1,7,0
1,3,279,4.358422939068101,0,0,0,4,0,1,0,12,8,0,9,15,6,1,4,5,0,3,4,2,3,0,1,4,0,1,1,0,0,4,0,2,2,0,0,0,0
0,4,3,3.6666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,51,3.9411764705882355,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
0,3,1050,4.500952380952381,0,5,8,0,1,3,4,92,39,0,25,29,20,11,8,18,0,29,7,10,0,4,18,5,1,2,26,5,4,0,0,0,6,1,5,3,5
0,5,346,4.566473988439307,0,0,0,0,0,0,0,14,13,0,8,6,4,2,0,4,0,4,2,4,0,0,3,1,2,6,11,0,4,0,0,0,0,3,2,2,0
0,3,33,3.5454545454545454,0,0,0,0,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,5,196,4.239795918367347,0,0,0,0,0,0,0,8,11,0,1,3,0,3,0,1,0,1,0,2,0,0,1,1,5,3,0,2,2,0,2,0,0,0,1,0,0
0,8,60,3.683333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,8,58,3.8620689655172415,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
0,1,29,4.172413793103448,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,5,1292,5.246130030959752,0,0,0,1,0,1,0,72,25,0,33,61,23,11,5,24,0,5,18,7,0,0,12,11,0,6,1,3,11,2,0,1,3,9,18,3,1
0,5,169,3.9763313609467454,0,0,0,0,0,0,0,4,4,0,0,0,3,4,3,0,0,0,4,1,0,3,3,0,0,1,0,2,3,0,0,0,0,1,0,0,1
0,1,185,4.048648648648649,0,0,0,0,0,0,0,13,5,0,6,2,2,6,5,1,0,3,3,3,5,0,1,0,1,2,2,1,3,1,0,0,3,0,1,3,0
0,4,73,4.47945205479452,0,0,0,0,0,0,0,8,4,0,0,0,2,3,0,1,0,2,2,1,0,1,3,0,0,0,0,1,0,1,0,1,0,0,1,0,0
0,11,400,3.745,0,0,0,0,0,0,0,8,8,8,0,0,2,9,2,0,5,7,2,2,1,3,4,0,0,6,0,0,1,0,0,1,0,0,1,1,2
0,6,9,4.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,45,4.511111111111111,0,0,0,0,0,0,0,5,2,0,0,1,0,2,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1
0,3,110,4.7727272727272725,0,0,0,0,0,0,0,1,2,0,4,1,6,1,0,2,0,3,0,2,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0
1,5,102,3.696078431372549,0,0,0,0,0,2,0,7,1,0,0,0,7,2,3,2,0,0,0,3,0,0,0,0,0,0,1,1,1,1,0,1,1,1,2,1,0
0,2,33,4.2727272727272725,0,0,0,0,0,0,0,2,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1,3,54,4.7407407407407405,0,0,0,0,0,0,0,1,1,0,2,0,2,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,53,3.981132075471698,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
0,4,258,3.8217054263565893,0,0,0,0,0,3,0,11,6,0,5,5,4,3,4,1,0,1,0,2,9,0,1,1,3,0,0,1,3,1,0,0,1,1,6,3,0
1,1,32,5.46875,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0
1,2,75,4.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
0,3,383,5.122715404699739,0,0,0,0,0,0,0,25,21,0,12,12,8,3,0,4,0,2,6,1,1,9,2,2,6,3,1,2,3,0,0,0,0,1,2,1,0
0,3,209,3.727272727272727,0,0,0,0,0,0,0,9,8,2,3,3,3,2,3,1,1,3,4,3,7,1,0,3,4,1,3,2,2,0,2,0,0,0,0,4,1
0,3,112,4.4375,0,0,0,0,0,0,0,5,3,0,2,0,1,2,1,1,0,3,1,1,3,1,2,0,0,0,1,2,1,0,0,1,1,4,0,3,0
0,5,137,4.4963503649635035,0,0,0,0,0,0,0,1,9,2,3,1,1,0,1,0,0,0,1,1,2,9,3,0,1,0,2,1,0,6,0,11,0,1,0,1,4
0,3,261,4.409961685823755,2,0,0,0,0,0,1,16,6,0,11,8,4,4,7,1,0,2,4,2,2,6,4,1,1,1,3,0,0,0,0,2,1,4,1,0,1
0,3,48,3.7083333333333335,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
0,8,107,3.289719626168224,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0
0,6,9,4.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,63,4.015873015873016,0,0,0,0,0,0,0,5,0,0,1,2,0,3,0,1,0,1,1,1,3,0,2,0,1,0,3,0,0,0,0,0,1,0,0,0,0
1,9,374,4.580213903743315,2,0,1,0,0,0,0,8,10,0,8,2,2,8,3,5,0,1,7,3,0,0,4,0,1,1,0,2,4,4,0,6,1,1,5,4,3
0,2,99,3.4444444444444446,1,0,0,0,0,0,0,3,2,0,0,0,1,1,0,0,0,1,0,0,4,0,0,3,0,0,1,0,1,1,0,1,2,0,1,3,0
0,6,9,4.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,34,4.264705882352941,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
0,1,9,4.777777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,38,4.815789473684211,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
1,5,928,5.068965517241379,0,0,0,1,0,0,0,40,22,0,20,39,21,6,7,17,0,5,20,9,1,0,9,6,2,8,1,1,6,4,0,0,3,6,1,2,0
1,12,428,4.574766355140187,2,0,1,0,0,0,0,9,8,0,11,3,4,9,4,6,0,2,6,2,0,0,4,0,1,1,0,2,4,5,0,6,0,1,5,4,3
1,6,72,10.23611111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,4,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,331,4.528700906344411,1,0,4,0,0,1,2,13,13,0,12,2,0,1,4,3,0,2,2,2,0,0,5,0,0,0,1,0,1,2,0,4,6,2,0,0,1
0,2,24,4.25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,1
0,6,9,4.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,53,3.7735849056603774,0,0,0,0,0,0,0,7,1,0,0,2,1,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,38,4.078947368421052,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
0,1,54,4.074074074074074,0,0,0,0,0,0,0,0,2,0,1,0,2,0,1,0,0,0,1,1,2,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0
0,4,296,5.077702702702703,0,0,0,0,1,0,0,14,9,0,2,4,2,2,1,7,0,1,2,1,3,0,6,1,1,1,4,5,1,3,0,0,2,2,0,0,1
0,2,34,4.294117647058823,0,0,0,0,0,0,0,2,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,9,94,4.574468085106383,0,1,0,0,0,0,1,2,3,0,1,2,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
1,0,7,4.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,43,3.5813953488372094,0,0,0,0,0,0,0,4,1,0,1,1,1,2,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
1,7,79,2.6962025316455698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,5,44,4.136363636363637,0,0,0,0,0,0,0,1,3,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
0,3,48,3.625,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
1,2,57,4.754385964912281,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,54,4.444444444444445,0,1,2,1,0,0,0,1,0,0,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,2,207,4.434782608695652,0,0,0,0,0,0,0,13,9,0,3,1,3,2,1,3,0,3,6,1,5,0,2,5,6,1,3,5,2,1,0,0,2,0,0,2,0
0,6,278,3.964028776978417,0,0,0,0,0,0,0,7,4,15,6,1,2,1,4,2,8,4,6,3,7,0,1,1,0,2,1,0,1,0,7,0,3,1,1,5,1
0,5,86,3.86046511627907,0,0,0,0,0,0,0,1,1,5,1,0,1,1,1,0,3,1,1,1,1,2,0,0,2,1,0,2,1,0,2,0,0,0,0,0,0
0,5,20,3.65,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,2,62,4.193548387096774,0,0,0,0,0,0,0,3,2,0,2,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,10,384,4.0859375,0,0,0,0,0,0,0,1,16,32,3,0,2,11,3,0,18,7,7,4,3,3,1,2,0,4,0,0,4,0,11,0,0,0,2,2,0
0,4,6,3.6666666666666665,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,95,3.768421052631579,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,1,0,0
0,4,43,3.5348837209302326,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
0,6,9,4.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,26,4.538461538461538,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,5,238,4.033613445378151,0,0,0,0,0,0,0,4,6,0,0,0,3,4,3,0,0,0,6,2,1,3,3,0,0,4,0,2,3,0,0,0,0,1,0,0,1
0,7,60,4.8,0,0,0,0,0,0,0,2,5,0,1,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,10,85,5.952941176470588,0,1,0,0,0,0,1,2,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,2,120,3.875,0,0,0,0,0,0,0,4,6,2,3,3,1,0,1,0,1,5,0,1,5,1,1,1,2,0,2,4,1,0,1,0,1,0,0,0,1
1,2,289,4.671280276816609,2,0,1,0,0,0,0,7,8,0,6,2,2,8,3,5,0,1,6,2,0,0,4,0,1,1,0,2,3,4,0,6,0,1,3,1,3
0,7,75,4.533333333333333,0,0,0,0,0,0,0,4,1,0,2,2,2,0,1,1,0,2,0,1,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,1,2
1,24,97,5.061855670103093,2,0,1,1,0,0,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0,0,0,0,0,0,0
1,6,10,1.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,3,92,4.25,0,0,0,0,0,0,0,2,2,5,0,1,2,2,1,0,3,1,2,1,1,0,1,1,1,0,1,1,1,0,2,0,0,0,0,0,2
0,3,88,4.215909090909091,2,1,0,0,0,0,0,1,1,0,2,4,0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,2,1,0
0,1,11,5.181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,8,61,3.918032786885246,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0
1,6,207,4.913043478260869,0,0,0,1,0,1,0,8,3,0,2,6,1,6,0,1,0,2,1,3,0,0,1,4,6,0,1,5,2,1,0,0,1,2,0,0,1
1,3,477,4.6415094339622645,1,1,0,0,0,0,0,33,15,0,7,14,7,8,8,14,0,3,10,5,4,0,3,3,4,3,0,1,6,3,0,0,1,2,1,2,3
0,5,352,3.866477272727273,0,1,0,2,0,0,0,9,12,32,3,3,6,1,6,6,16,5,1,1,9,20,5,0,2,1,5,4,1,1,2,0,0,2,0,0,1
1,2,325,6.076923076923077,0,0,0,0,0,0,0,1,3,0,0,0,4,1,3,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1
1,1,42,5.880952380952381,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,22,122,3.6065573770491803,0,0,1,1,0,0,0,7,3,0,9,2,0,0,0,2,0,1,1,0,11,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0
0,6,228,3.942982456140351,0,0,0,1,0,0,0,6,10,0,1,1,1,10,4,2,0,2,1,0,3,3,1,0,1,4,1,2,0,0,0,0,0,0,1,4,0
1,7,444,4.513513513513513,0,0,0,0,0,1,1,10,5,0,16,4,7,4,1,6,0,3,5,4,0,0,5,2,2,0,1,0,5,0,0,0,2,2,5,2,1
0,7,533,4.3076923076923075,0,0,0,0,0,0,0,15,18,21,2,3,10,5,2,0,12,11,12,6,12,1,5,8,4,5,1,2,1,1,7,1,2,6,1,8,0
0,4,96,3.8958333333333335,0,0,0,0,0,0,0,1,4,3,0,1,1,0,1,1,1,0,0,0,2,4,0,0,1,2,0,0,1,0,1,0,0,0,0,1,0
1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,71,4.126760563380282,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,3
0,8,46,4.3478260869565215,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,13,981,4.7971457696228335,2,0,2,0,0,0,1,27,8,0,3,15,14,8,4,10,0,6,7,6,0,0,2,2,2,1,1,0,3,6,0,1,1,0,1,2,2
0,2,139,4.482014388489208,0,0,0,1,0,0,0,1,2,0,3,1,4,0,1,0,0,0,0,0,2,1,1,1,0,0,2,1,0,2,0,0,0,1,2,0,1
0,2,47,3.723404255319149,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
0,7,65,3.6307692307692307,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,7,722,3.898891966759003,0,0,0,0,0,0,0,10,12,56,5,0,11,5,4,2,30,14,4,3,4,15,0,1,0,9,1,1,2,0,23,0,2,7,1,0,3
0,4,82,4.219512195121951,0,0,0,0,0,0,0,4,2,0,0,0,1,1,0,1,0,0,3,1,2,0,3,2,0,1,0,1,1,1,0,0,2,0,0,1,0
0,3,26,3.076923076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,691,4.073806078147612,0,1,0,0,0,2,0,25,18,29,12,6,8,6,3,4,16,10,7,4,5,8,6,4,4,12,6,3,2,1,0,0,6,1,3,2,0
0,8,137,5.065693430656935,0,0,1,0,0,0,0,2,7,0,0,0,1,2,8,1,0,0,5,1,0,0,1,0,0,0,3,0,0,5,1,0,0,2,0,0,4
1,9,115,4.147826086956521,0,1,0,0,1,2,1,11,5,0,1,4,1,1,1,2,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,2,0,0,3,0,0
